Year,vol,obs,Eadj_Seasonal_Mean,Eadj_Seasonal_SD,Eadj_Seasonal_Min,Eadj_Seasonal_Max
2011,3.83,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.71,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.45,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,3.65,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,3.25,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,5.56,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,3.1,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,5.26,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.25,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.94,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.49,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,3.46,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,3.75,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.83,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,6.21,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,5.6,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.38,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,4.68,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,6.31,17,0.427188868,0.104531303,0.359700458,0.547597825
2011,5.18,17,0.427188868,0.104531303,0.359700458,0.547597825
2013,5.17,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,3.25,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,4.99,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,5.54,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,2.13,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,3.74,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,3.15,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,4.81,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,5.33,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,3.99,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,3.99,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,3.81,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,4.22,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,4.5,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,4.06,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,5.23,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,7.27,19,0.343100455,0.076957466,0.272091474,0.424873131
2013,5.58,19,0.343100455,0.076957466,0.272091474,0.424873131
